OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BN,2024-12-31T19:51:04.691232,15.07596474,0.0078419,74.0423,143.7339,275.344,241.6626,0,U,33821,999,69758,2.33E-03,3.82E-04,0
COSMOS 2251 DEB,1993-036BP,2024-12-30T16:23:27.900384,14.10421498,0.0160786,74.0771,85.0499,219.0999,260.9117,0,U,33822,999,81156,6.21E-03,1.25E-04,0
COSMOS 2251 DEB,1993-036BQ,2024-12-31T20:14:26.768832,13.97842336,0.0213254,73.8118,34.9663,220.516,314.2638,0,U,33823,999,80774,2.47E-03,4.22E-05,0
COSMOS 2251 DEB,1993-036BS,2024-12-31T15:44:06.762048,14.62536145,0.009322,73.9884,337.5276,26.6127,147.0931,0,U,33825,999,83805,5.17E-03,2.80E-04,0
COSMOS 2251 DEB,1993-036BT,2024-12-31T21:47:47.668704,14.44875715,0.0090156,74.0658,336.7194,111.7628,278.753,0,U,33826,999,82762,6.19E-03,2.27E-04,0
COSMOS 2251 DEB,1993-036BV,2024-12-31T17:20:47.643360,14.42729379,0.0030191,74.0467,160.7688,321.4055,49.9028,0,U,33828,999,83320,1.58E-03,5.28E-05,0
COSMOS 2251 DEB,1993-036BX,2024-12-31T18:52:21.306144,14.71053993,0.0046944,74.0334,185.665,36.6063,335.2248,0,U,33830,999,84374,2.35E-03,1.47E-04,0
COSMOS 2251 DEB,1993-036BZ,2024-12-31T20:37:23.133792,14.54607447,0.002745,74.0562,146.9934,271.0957,250.1786,0,U,33832,999,83384,4.31E-03,1.85E-04,0
COSMOS 2251 DEB,1993-036CB,2024-12-30T17:33:40.639968,15.17403035,0.0017718,74.0582,358.0833,156.8681,16.4471,0,U,33834,999,85079,5.79E-03,1.18E-03,0
COSMOS 2251 DEB,1993-036CC,2024-12-31T09:06:50.324832,14.57847594,0.0059382,74.0596,41.3926,187.5894,183.8714,0,U,33835,999,83734,2.35E-03,1.10E-04,0
COSMOS 2251 DEB,1993-036CD,2024-12-31T00:33:52.275744,14.71262739,0.0028966,73.9987,218.839,158.0167,261.7813,0,U,33836,999,58974,2.71E-03,1.68E-04,0
COSMOS 2251 DEB,1993-036CE,2024-12-31T16:26:35.853216,14.49564873,0.0036926,74.0143,346.575,291.3249,68.3971,0,U,33837,999,83779,1.13E-03,4.33E-05,0
COSMOS 2251 DEB,1993-036CF,2024-12-31T22:56:14.284032,14.4682787,0.0029329,74.0395,76.6469,284.8678,186.5451,0,U,33838,999,83565,1.33E-03,4.82E-05,0
COSMOS 2251 DEB,1993-036CG,2024-12-31T20:51:59.153760,14.62909907,0.0087032,74.0402,150.3262,350.8281,161.8015,0,U,33839,999,84519,7.54E-04,4.05E-05,0
