OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat,5874.318674986152,1.6317551874961531,665.621448168622,6979.437640307935,7093.805256029309
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat,5759.805799746947,1.599946055485263,573.8746762363844,6936.775563388957,6952.9737890838105
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.5019152,0.0007687,97.4101,330.5887,208.257,151.8266,0,U,59059,999,4701,0.0019045,0.00108797,0.0,6794.303405478293,CubeSat,5573.507967710572,1.5481966576973811,423.3034054782929,6789.080624450502,6799.526186506085
AEROCUBE 5C,2015-058B,2024-12-31T20:59:37.726080,14.86257925,0.0184947,64.7696,113.2492,249.2149,108.9062,0,U,40965,999,28638,0.0011644,0.00013896,0.0,6987.777248737578,CubeSat,5813.260701837714,1.614794639399365,616.7772487375778,6858.540404855351,7117.014092619805
CANX-4,2014-034C,2024-12-31T15:27:25.939008,14.79437493,0.0012028,98.376,209.6642,281.8535,78.1326,0,U,40055,999,56573,0.00062925,4.647e-05,0.0,7009.237258549208,CubeSat,5840.060718399924,1.6222390884444233,638.2372585492076,7000.806547974625,7017.6679691237905
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.5019152,0.0007687,97.4101,330.5887,208.257,151.8266,0,U,59059,999,4701,0.0019045,0.00108797,0.0,6794.303405478293,CubeSat,5573.507967710572,1.5481966576973811,423.3034054782929,6789.080624450502,6799.526186506085
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat,5874.318674986152,1.6317551874961531,665.621448168622,6979.437640307935,7093.805256029309
QB50P2,2014-033Y,2024-12-31T20:01:45.882048,15.04226241,0.0009018,98.0264,325.4761,168.2118,191.932,0,U,40032,999,57232,0.0013245,0.00018397,0.0,6932.018837937602,CubeSat,5743.820013705878,1.595505559362744,561.0188379376023,6925.767543349551,6938.270132525655
SITRO-AIS 9 (SHCHUKIN),2023-091AM,2024-12-31T22:56:04.344576,15.18193701,0.0011379,97.5856,59.7611,143.44,216.7613,0,U,57201,999,8348,0.0014107,0.00028911,0.0,6889.436757931628,CubeSat,5690.9765746665835,1.5808268262962732,518.4367579316277,6881.597267844777,6897.276248018478
SNAP-3 JIMI,2015-058M,2024-12-31T20:41:52.176480,14.92817304,0.0167748,64.769,93.5714,246.9146,111.4209,0,U,40975,999,3447,0.0017478,0.00023812,0.0,6967.292888291544,CubeSat,5787.717468873447,1.6076992969092907,596.2928882915439,6850.417943549031,7084.167833034057
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat,5759.403638212836,1.59983434394801,573.5514021476583,6921.173958762608,6967.928845532708
