OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,DEBRIS_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
FENGYUN 1C DEB,1999-025ADS,2024-12-31T21:10:36.746400,14.17240315,0.0080916,99.0756,71.1217,286.3276,72.9011,0,U,30403,999,91899,0.0064437,0.0001341,0.0,7212.83796735698,FENGYUN 1C,6096.358321698858,1.6934328671385717,841.8379673569798,7154.474567660314,7271.201367053645
FENGYUN 1C DEB,1999-025ADT,2024-12-31T17:48:49.644864,13.33569118,0.0383122,99.8293,105.5849,250.3358,105.6051,0,U,30404,999,53423,0.0043342,3.187e-05,0.0,7511.468000512862,FENGYUN 1C,6478.857879638873,1.7996827443441314,1140.468000512862,7223.687136183613,7799.248864842111
FENGYUN 1C DEB,1999-025ADU,2024-12-31T12:27:21.767616,14.25015916,0.0052726,98.8004,92.5868,82.358,38.9896,0,U,30405,999,92457,0.0044518,0.00010545,0.0,7186.576142283798,FENGYUN 1C,6063.093535439053,1.6841926487330703,815.5761422837977,7148.684200915993,7224.468083651604
FENGYUN 1C DEB,1999-025ADV,2024-12-31T14:26:22.000128,13.57731765,0.0279391,98.6285,292.5592,182.8325,352.796,0,U,30406,999,88466,0.0033054,3.03e-05,0.0,7422.083834400738,FENGYUN 1C,6363.557965514168,1.7676549904206023,1051.083834400738,7214.717491943033,7629.450176858443
FENGYUN 1C DEB,1999-025ADY,2024-12-31T17:22:17.654880,14.02513839,0.0168396,98.4594,11.9718,262.2137,161.2823,0,U,30409,999,91577,0.0021824,3.765e-05,0.0,7263.240161377407,FENGYUN 1C,6160.370434817051,1.7112140096714032,892.2401613774073,7140.930102355876,7385.550220398938
FENGYUN 1C DEB,1999-025AEA,2024-12-30T16:47:52.882368,14.04220548,0.0130687,98.5828,288.2669,8.6564,351.6816,0,U,30411,999,91106,0.0071217,0.00012174,0.0,7257.353740463162,FENGYUN 1C,6152.883035719089,1.7091341765886359,886.3537404631616,7162.50956163517,7352.197919291153
FENGYUN 1C DEB,1999-025AEC,2024-12-31T11:56:37.182048,14.26266115,0.0048761,102.0635,101.4297,28.9813,34.9806,0,U,30413,999,92191,0.0057761,0.0001399,0.0,7182.37591470501,FENGYUN 1C,6057.778907688179,1.6827163632467164,811.3759147050096,7147.353931507316,7217.397897902702
FENGYUN 1C DEB,1999-025AED,2024-12-31T08:16:37.782336,14.28077618,0.0063218,99.0631,142.1623,115.3075,245.4671,0,U,30414,999,92131,0.0068536,0.00017392,0.0,7176.300779103493,FENGYUN 1C,6050.094672233258,1.6805818533981274,805.3007791034934,7130.933640838157,7221.66791736883
FENGYUN 1C DEB,1999-025AEE,2024-12-31T09:59:47.688288,13.67660395,0.0237549,99.6624,60.3118,80.8528,48.993,0,U,30415,999,89141,0.0024432,2.468e-05,0.0,7386.119460787598,FENGYUN 1C,6317.361254141868,1.7548225705949634,1015.1194607875977,7210.662931608535,7561.57598996666
FENGYUN 1C DEB,1999-025AEF,2024-12-31T22:14:28.211424,14.02274138,0.005637,98.8719,35.0739,74.6768,286.0619,0,U,30416,999,91777,0.00061491,9.13e-06,0.0,7264.067843728539,FENGYUN 1C,6161.423472103827,1.7115065200288408,893.0678437285387,7223.120293293441,7305.015394163635
FENGYUN 1C DEB,1999-025AEG,2024-12-31T19:00:24.871392,14.14073536,0.0064841,98.671,0.3658,29.5331,144.9054,0,U,30417,999,92498,0.0010167,1.931e-05,0.0,7223.602587548897,FENGYUN 1C,6110.010949386271,1.6972252637184086,852.6025875488967,7176.764026010971,7270.441149086822
FENGYUN 1C DEB,1999-025AEH,2024-12-31T13:50:09.070368,14.7654264,0.0126597,98.8048,125.9814,131.5866,241.7358,0,U,30418,999,95470,0.0027306,0.00021723,0.0,7018.395629159062,FENGYUN 1C,5851.510517974179,1.6254195883261606,647.3956291590621,6929.544846012597,7107.246412305527
FENGYUN 1C DEB,1999-025AEJ,2024-12-31T13:34:27.505632,14.16640851,0.0052548,99.2172,294.2797,283.7217,250.7636,0,U,30419,999,92444,0.0026594,5.336e-05,0.0,7214.872607639375,FENGYUN 1C,6098.938049187571,1.6941494581076586,843.872607639375,7176.9598950607515,7252.785320217998
FENGYUN 1C DEB,1999-025AEK,2024-12-30T18:38:34.258560,15.19549533,0.0080413,98.9483,10.974,100.5818,260.4482,0,U,30420,999,96275,0.0031796,0.00074246,0.0,6885.338039527093,FENGYUN 1C,5685.898748650639,1.579416319069622,514.3380395270933,6829.970970749844,6940.705108304342
FENGYUN 1C DEB,1999-025AET,2024-12-31T15:09:27.463104,14.3877856,0.0084567,98.8683,248.0877,284.5046,74.677,0,U,30432,999,93754,0.0023185,7.385e-05,0.0,7140.673945638273,FENGYUN 1C,6005.096981843655,1.668082494956571,769.6739456382729,7080.287408282194,7201.060482994352
FENGYUN 1C DEB,1999-025AEV,2024-12-31T17:34:06.100320,13.90186698,0.012279,98.9736,358.9647,92.7871,79.5255,0,U,30434,999,90898,0.00097893,1.246e-05,0.0,7306.11362717894,FENGYUN 1C,6214.99601501536,1.7263877819487112,935.1136271789401,7216.401857950809,7395.82539640707
FENGYUN 1C DEB,1999-025AEW,2024-12-31T16:56:48.214176,13.76688207,0.0217216,99.0023,4.1507,315.8117,104.614,0,U,30435,999,89393,0.0069377,8.068e-05,0.0,7353.793773458892,FENGYUN 1C,6275.934335941735,1.7433150933171486,982.7937734588922,7194.057606629328,7513.529940288457
FENGYUN 1C DEB,1999-025AEX,2024-12-31T16:50:13.530336,14.17178622,0.0107319,98.4422,270.7778,58.2701,331.9715,0,U,30436,999,91526,0.007005,0.00014934,0.0,7213.047293303319,FENGYUN 1C,6096.623710004963,1.6935065861124896,842.0472933033188,7135.6375910563165,7290.45699555032
FENGYUN 1C DEB,1999-025AEY,2024-12-31T15:33:02.352096,14.69840687,0.005017,98.9234,342.3571,110.5911,308.8181,0,U,30437,999,94070,0.0058605,0.00035819,0.0,7039.713714850181,FENGYUN 1C,5878.191333668914,1.6328309260191427,668.7137148501806,7004.395471142777,7075.031958557584
FENGYUN 1C DEB,1999-025AEZ,2024-12-30T18:38:44.179008,13.9048039,0.0136657,98.7786,35.9907,59.0466,302.4041,0,U,30438,999,90481,0.0037072,4.933e-05,0.0,7305.084811199459,FENGYUN 1C,6213.683307103211,1.726023140862003,934.0848111994592,7205.255713695051,7404.9139087038675
FENGYUN 1C DEB,1999-025AFA,2024-12-31T16:49:48.939168,14.08271821,0.0039296,98.7659,22.3459,233.0343,191.2811,0,U,30439,999,91920,0.0016087,2.726e-05,0.0,7243.428570727176,FENGYUN 1C,6135.182611310208,1.7042173920306134,872.4285707271756,7214.964793815646,7271.892347638705
