OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
FUNCUBE-1 (AO-73),2013-066AE,2024-12-31T14:52:01.156512,14.9803138,0.0042431,97.744,322.8371,200.3011,159.6526,0,U,39444,999,59960,0.001408,0.00016918,0.0,6951.116502060727,CubeSat
UWE-3,2013-066AG,2024-12-31T19:43:44.558400,14.90232085,0.005433,97.8065,313.1254,289.3921,70.1429,0,U,39446,999,59809,0.0013607,0.00013531,0.0,6975.348355782979,CubeSat
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat
DUCHIFAT-1,2014-033M,2024-12-31T10:02:07.765152,15.183509,0.0011499,98.0991,2.0657,138.7454,221.4649,0,U,40021,999,57393,0.0016974,0.00034985,0.0,6888.961228303772,CubeSat
NANOSATC-BR1,2014-033Q,2024-12-31T09:36:50.095584,15.116689,0.0003803,98.082,348.0874,203.2725,156.8332,0,U,40024,999,57295,0.0013952,0.0002373,0.0,6909.247060720162,CubeSat
QB50P1,2014-033R,2024-12-31T12:57:59.476608,15.0590692,0.0009878,98.0667,334.937,232.4669,127.566,0,U,40025,999,57251,0.0013736,0.00019968,0.0,6926.860189456236,CubeSat
QB50P2,2014-033Y,2024-12-31T20:01:45.882048,15.04226241,0.0009018,98.0264,325.4761,168.2118,191.932,0,U,40032,999,57232,0.0013245,0.00018397,0.0,6932.018837937602,CubeSat
PERSEUS-M2,2014-033AD,2024-12-31T21:07:43.113504,14.92491894,0.0011128,97.943,298.763,262.7127,97.2827,0,U,40037,999,57129,0.00058318,5.935e-05,0.0,6968.305576940253,CubeSat
PERSEUS-M1,2014-033AF,2024-12-31T19:03:01.975104,14.92391376,0.0010899,97.9197,294.1432,262.4961,97.5019,0,U,40039,999,57113,0.00062372,6.336e-05,0.0,6968.61846728462,CubeSat
POLYITAN-1,2014-033AJ,2024-12-31T16:32:37.009536,15.11381807,0.0010602,98.0912,340.5614,175.4266,184.7061,0,U,40042,999,57257,0.0017699,0.00029943,0.0,6910.121992372702,CubeSat
TIGRISAT,2014-033AK,2024-12-31T21:13:57.387936,14.81404342,0.0053387,97.712,161.6716,19.8727,340.455,0,U,40043,999,56670,0.00081612,6.493e-05,0.0,7003.031811766011,CubeSat
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.8868005,0.004603,97.6762,173.431,351.4054,8.637,0,U,40045,999,56715,0.001639,0.00015572,0.0,6980.195649660228,CubeSat
AEROCUBE 6B,2014-033AN,2024-12-31T21:19:39.089568,14.89703756,0.0044483,97.6738,172.3186,345.991,14.0071,0,U,40046,999,56722,0.0017187,0.00016735,0.0,6976.997480542613,CubeSat
CANX-4,2014-034C,2024-12-31T15:27:25.939008,14.79437493,0.0012028,98.376,209.6642,281.8535,78.1326,0,U,40055,999,56573,0.00062925,4.647e-05,0.0,7009.237258549208,CubeSat
CANX-5,2014-034D,2024-12-31T20:25:03.880704,14.79451101,0.0012039,98.3764,209.8931,281.3989,78.5868,0,U,40056,999,55657,0.00064282,4.75e-05,0.0,7009.194277812738,CubeSat
UKUBE-1,2014-037F,2024-12-31T06:38:43.953504,15.00452365,0.0003271,98.3678,309.3963,94.0291,266.1305,0,U,40074,999,56826,0.0015977,0.00020086,0.0,6943.63738979986,CubeSat
BRITE-PL2 (HEWELIUSZ),2014-049B,2024-12-31T20:44:09.452256,14.91148914,0.001626,97.8868,106.0084,74.366,285.9351,0,U,40119,999,56201,0.00064812,6.393e-05,0.0,6972.488879611159,CubeSat
