OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat
OOV-CUBE (TUBSAT-30),2024-128F,2024-12-31T18:07:06.476448,14.98608346,0.0031891,61.9981,276.8257,14.7576,345.4436,0,U,60240,999,2619,0.00070944,8.451e-05,0.0,6949.332262131992,CubeSat
ROBUSTA-3A (MEDITERRANEE),2024-128J,2024-12-30T18:05:23.034048,15.00669781,0.0031607,61.991,279.6135,9.7768,350.393,0,U,60243,999,2605,0.0016749,0.00021396,0.0,6942.966714016182,CubeSat
IRIDIUM 106,2017-003A,2024-12-31T16:36:22.102272,14.34218592,0.0002009,86.3975,311.0472,91.6226,268.52,0,U,41917,999,41688,5.7163e-05,1.8e-06,0.0,7155.80135367037,Iridium Next
IRIDIUM 103,2017-003B,2024-12-31T21:19:29.623584,14.34223899,0.0001618,86.3975,310.8662,72.6753,287.4619,0,U,41918,999,41693,0.00034846,9.96e-06,0.0,7155.78370144688,Iridium Next
IRIDIUM 109,2017-003C,2024-12-31T18:07:42.255552,14.34217828,0.0002155,86.3976,310.9726,77.7684,282.3753,0,U,41919,999,41688,1.4604e-05,6.1e-07,0.0,7155.803894907665,Iridium Next
IRIDIUM 102,2017-003D,2024-12-31T14:01:05.657664,14.34214218,0.0002334,86.3977,310.979,85.229,274.9173,0,U,41920,999,41694,-2.7341e-06,1.2e-07,0.0,7155.815902617021,Iridium Next
IRIDIUM 105,2017-003E,2024-12-31T11:38:27.769632,14.34231539,0.0002025,86.397,279.4421,85.0732,275.0695,0,U,41921,999,41878,0.00037948,1.083e-05,0.0,7155.758289354746,Iridium Next
IRIDIUM 104,2017-003F,2024-12-31T17:40:18.179328,14.34218282,0.0002228,86.3977,310.9499,70.8114,289.3323,0,U,41922,999,41695,9.5949e-05,2.88e-06,0.0,7155.802384800415,Iridium Next
IRIDIUM 114,2017-003G,2024-12-31T17:49:26.207616,14.34217451,0.0001872,86.3976,310.9324,81.929,278.2118,0,U,41923,999,41693,1.6913e-05,6.7e-07,0.0,7155.805148896011,Iridium Next
IRIDIUM 108,2017-003H,2025-01-01T02:52:30.041760,14.34222495,0.0002064,86.3965,279.0888,89.3225,270.8207,0,U,41924,999,41886,0.00027978,8.03e-06,0.0,7155.788371442277,Iridium Next
IRIDIUM 112,2017-003J,2024-12-31T19:11:37.954176,14.34221917,0.0002316,86.3971,310.7748,77.5392,282.6062,0,U,41925,999,41696,0.00030001,8.6e-06,0.0,7155.790293992454,Iridium Next
IRIDIUM 111,2017-003K,2024-12-31T20:33:50.117184,14.34219693,0.0002046,86.3975,310.8098,84.402,275.7409,0,U,41926,999,41695,0.00016084,4.7e-06,0.0,7155.797691498605,Iridium Next
IRIDIUM 113,2017-039A,2025-01-01T01:06:23.002848,14.34217702,0.0001911,86.4002,184.5418,75.9486,284.1922,0,U,42803,999,39491,-1.1733e-05,-1.3e-07,0.0,7155.804314012462,Iridium Next
IRIDIUM 123,2017-039B,2024-12-31T21:04:42.749184,14.34217815,0.0001808,86.3977,216.0492,90.6957,269.4446,0,U,42804,999,39365,0.00010838,3.23e-06,0.0,7155.803938148633,Iridium Next
IRIDIUM 120,2017-039C,2024-12-31T21:36:19.068480,14.3421874,0.0001934,86.3985,184.4545,100.1866,259.9548,0,U,42805,999,39488,4.2188e-05,1.38e-06,0.0,7155.8008613890615,Iridium Next
IRIDIUM 115,2017-039D,2024-12-31T19:06:46.445760,14.43287508,0.0001551,86.4523,184.5517,90.0066,270.1313,0,U,42806,999,39747,0.00013944,4.89e-06,0.0,7125.79415906228,Iridium Next
IRIDIUM 118,2017-039E,2024-12-31T20:09:54.861120,14.34217627,0.0002031,86.3976,216.0656,86.5475,273.5953,0,U,42807,999,39364,7.1659e-05,2.2e-06,0.0,7155.804563479633,Iridium Next
IRIDIUM 117,2017-039F,2024-12-31T20:37:18.317856,14.34222699,0.000166,86.3975,216.0202,90.1022,270.0364,0,U,42808,999,39367,0.00030282,8.68e-06,0.0,7155.787692895465,Iridium Next
IRIDIUM 126,2017-039G,2024-12-31T16:12:26.593920,14.3422059,0.0001758,86.3976,216.1395,82.9597,277.1799,0,U,42809,999,39362,0.00023168,6.69e-06,0.0,7155.794707879841,Iridium Next
IRIDIUM 124,2017-039H,2024-12-31T09:12:18.954144,14.43285735,0.0002127,86.4522,153.1056,104.8827,255.261,0,U,42810,999,39826,0.00037161,1.27e-05,0.0,7125.7999948346205,Iridium Next
IRIDIUM 128,2017-039J,2024-12-31T12:38:10.630752,14.3421698,0.0001938,86.3962,247.7079,92.7575,267.3842,0,U,42811,999,39363,6.2005e-05,1.93e-06,0.0,7155.806715550655,Iridium Next
IRIDIUM 121,2017-039K,2024-12-31T16:39:50.876640,14.34218244,0.0002028,86.3978,216.1555,92.0635,268.0793,0,U,42812,999,39350,7.0915e-05,2.18e-06,0.0,7155.802511197026,Iridium Next
IRIDIUM 133,2017-061A,2024-12-31T15:04:18.630624,14.34217757,0.0001848,86.3966,247.7697,85.1935,274.9472,0,U,42955,999,37844,4.8994e-06,3.3e-07,0.0,7155.8041310698845,Iridium Next
IRIDIUM 100,2017-061B,2024-12-31T14:55:10.601472,14.34218666,0.0001807,86.3963,247.7036,88.5186,271.6216,0,U,42956,999,37844,6.108e-05,1.91e-06,0.0,7155.801107529706,Iridium Next
IRIDIUM 122,2017-061C,2024-12-31T12:29:02.389920,14.34219365,0.0001736,86.3965,247.7447,82.4334,277.7058,0,U,42957,999,37843,0.00021107,6.11e-06,0.0,7155.7987824993315,Iridium Next
IRIDIUM 129,2017-061D,2024-12-31T13:05:34.654272,14.34218623,0.0002216,86.3964,247.7956,75.611,284.5331,0,U,42958,999,37845,0.00011891,3.53e-06,0.0,7155.801250557388,Iridium Next
IRIDIUM 119,2017-061E,2024-12-31T15:40:49.871136,14.34216328,0.00018,86.3964,247.7439,78.1412,281.9985,0,U,42959,999,37848,0.00027594,7.93e-06,0.0,7155.808884254467,Iridium Next
IRIDIUM 107,2017-061F,2024-12-31T17:48:42.577344,14.34217356,0.0001551,86.3967,247.7249,92.3664,267.7709,0,U,42960,999,37850,5.373e-05,1.7e-06,0.0,7155.805464887854,Iridium Next
IRIDIUM 132,2017-061G,2024-12-31T17:57:50.599584,14.34218164,0.0001911,86.3962,247.7055,89.0427,271.0988,0,U,42961,999,37850,9.936e-05,2.98e-06,0.0,7155.802777295174,Iridium Next
IRIDIUM 136,2017-061H,2024-12-31T13:42:06.593760,14.34217915,0.000165,86.3966,247.7837,79.5066,280.6315,0,U,42962,999,37849,9.5957e-06,4.7e-07,0.0,7155.803605525817,Iridium Next
IRIDIUM 139,2017-061J,2024-12-31T18:52:38.479008,14.34220133,0.0001705,86.397,247.7469,86.1762,273.9628,0,U,42963,999,37853,0.00023576,6.8e-06,0.0,7155.7962279616995,Iridium Next
IRIDIUM 125,2017-061K,2024-12-31T18:34:22.409472,14.34219859,0.0001491,86.3969,247.8036,69.2922,290.8433,0,U,42964,999,37854,0.00018774,5.46e-06,0.0,7155.7971393459575,Iridium Next
IRIDIUM 135,2017-083A,2024-12-31T19:37:34.994496,14.34217609,0.0002084,86.3994,184.5084,92.0787,268.0647,0,U,43070,999,36784,-2.8011e-05,-5.9e-07,0.0,7155.804623351755,Iridium Next
IRIDIUM 138,2017-083B,2024-12-31T20:14:07.007424,14.34218197,0.0001905,86.3978,184.1905,71.2292,288.911,0,U,43071,999,36783,1.9024e-05,7.3e-07,0.0,7155.802667529686,Iridium Next
IRIDIUM 116,2017-083C,2024-12-31T17:47:59.085312,14.34217331,0.0001945,86.3992,184.5327,97.2558,262.8859,0,U,43072,999,36785,-1.8286e-05,-3.1e-07,0.0,7155.805548043609,Iridium Next
IRIDIUM 130,2017-083D,2025-01-01T01:24:39.011904,14.34217291,0.0001699,86.4002,184.6236,95.0122,265.1268,0,U,43073,999,36784,-3.0924e-05,-6.7e-07,0.0,7155.805681092821,Iridium Next
IRIDIUM 151,2017-083E,2024-12-31T18:06:14.611392,14.34216743,0.0002027,86.3995,184.5732,92.5499,267.5929,0,U,43074,999,36782,-1.9692e-05,-3.5e-07,0.0,7155.807503867648,Iridium Next
IRIDIUM 134,2017-083F,2024-12-31T20:41:30.948000,14.34216882,0.00018,86.3996,184.5289,94.9554,265.1847,0,U,43075,999,36780,-2.8586e-05,-6e-07,0.0,7155.807041521368,Iridium Next
IRIDIUM 137,2017-083G,2024-12-31T17:38:51.113184,14.34217433,0.000232,86.3998,184.6636,99.9419,260.2039,0,U,43076,999,36785,-1.321e-05,-1.7e-07,0.0,7155.805208768146,Iridium Next
IRIDIUM 141,2017-083H,2024-12-31T19:10:11.015040,14.34217847,0.0001833,86.3988,184.4983,82.0988,278.0416,0,U,43077,999,36786,3.4259e-06,2.9e-07,0.0,7155.803831709329,Iridium Next
IRIDIUM 153,2017-083J,2024-12-31T18:01:18.977376,14.34215884,0.0001792,86.3999,153.0449,75.2434,284.896,0,U,43078,999,36896,0.00010799,3.22e-06,0.0,7155.810361102787,Iridium Next
IRIDIUM 131,2017-083K,2024-12-31T13:50:30.724800,14.34216301,0.0001955,86.3999,184.7413,86.6981,273.4438,0,U,43079,999,36776,-5.3289e-05,-1.29e-06,0.0,7155.808974062788,Iridium Next
IRIDIUM 144,2018-030A,2024-12-31T18:10:26.978880,14.34222327,0.0001842,86.3995,152.9836,97.6848,262.4556,0,U,43249,999,35382,0.00031424,9e-06,0.0,7155.788930245656,Iridium Next
IRIDIUM 149,2018-030B,2024-12-31T20:00:02.971872,14.34223287,0.0002136,86.3997,152.925,96.7689,263.375,0,U,43250,999,35385,0.00034668,9.91e-06,0.0,7155.785737084962,Iridium Next
IRIDIUM 157,2018-030C,2024-12-31T18:46:59.217312,14.34217506,0.0002197,86.3995,152.9874,92.0861,268.0587,0,U,43251,999,35382,0.00010321,3.09e-06,0.0,7155.804965953378,Iridium Next
IRIDIUM 140,2018-030D,2024-12-31T17:33:55.279584,14.34214535,0.0001811,86.4,153.023,97.0759,263.0642,0,U,43252,999,35387,-4.5743e-05,-1.08e-06,0.0,7155.81484819842,Iridium Next
IRIDIUM 145,2018-030E,2024-12-31T15:35:10.288896,14.3421633,0.000198,86.3997,153.0304,104.4836,255.658,0,U,43253,999,35379,0.00029277,8.4e-06,0.0,7155.808877601999,Iridium Next
IRIDIUM 146,2018-030F,2024-12-31T16:48:15.407712,14.3421716,0.0001851,86.4,153.0234,105.3405,254.7995,0,U,43254,999,35381,-9.6785e-06,-7e-08,0.0,7155.806116829033,Iridium Next
IRIDIUM 148,2018-030G,2024-12-31T21:03:59.215680,14.34217652,0.0002044,86.3999,152.984,98.7943,261.3485,0,U,43255,999,35387,0.00012609,3.73e-06,0.0,7155.804480323906,Iridium Next
IRIDIUM 142,2018-030H,2024-12-31T10:15:31.228128,14.3421913,0.0002147,86.3994,153.0804,105.5897,254.5536,0,U,43256,999,35377,0.00020827,6.03e-06,0.0,7155.7995641616935,Iridium Next
IRIDIUM 150,2018-030J,2024-12-31T21:13:07.223232,14.34217753,0.0001916,86.3998,152.9888,100.6344,259.5068,0,U,43257,999,35386,0.00020478,5.93e-06,0.0,7155.804144374799,Iridium Next
IRIDIUM 143,2018-030K,2024-12-31T10:42:54.906912,14.34223038,0.0001886,86.4,153.2432,109.0865,251.0535,0,U,43258,999,35373,0.00033615,9.61e-06,0.0,7155.7865653106755,Iridium Next
IRIDIUM 161,2018-047C,2024-12-31T13:40:04.000800,14.43286517,0.0002253,86.4494,311.044,86.2841,273.8618,0,U,43478,999,34831,0.00037261,1.274e-05,0.0,7125.797420905358,Iridium Next
IRIDIUM 152,2018-047D,2024-12-31T16:45:30.121056,14.342193,0.0002093,86.397,310.8497,82.6003,277.5431,0,U,43479,999,34616,0.00014574,4.28e-06,0.0,7155.798998703793,Iridium Next
IRIDIUM 147,2018-047E,2024-12-31T21:56:02.045184,14.34221231,0.0002371,86.3974,310.7555,77.2887,282.8574,0,U,43480,999,34619,0.00022664,6.55e-06,0.0,7155.792575775136,Iridium Next
IRIDIUM 110,2018-047F,2025-01-01T03:06:34.221600,14.3421789,0.000205,86.3975,310.7433,72.9316,287.2104,0,U,43481,999,34621,6.0697e-05,1.9e-06,0.0,7155.803688681518,Iridium Next
IRIDIUM 162,2018-047G,2024-12-31T13:30:58.623264,14.43290009,0.0001971,86.4495,310.9441,79.5079,280.6344,0,U,43482,999,34830,0.00040058,1.368e-05,0.0,7125.785927121725,Iridium Next
IRIDIUM 160,2018-061A,2024-12-31T19:06:42.299424,14.34217436,0.0002486,86.3942,279.242,82.1639,277.9839,0,U,43569,999,33706,0.00033825,9.67e-06,0.0,7155.805198789457,Iridium Next
IRIDIUM 166,2018-061B,2024-12-31T14:41:50.413056,14.34218072,0.000189,86.3966,279.2769,90.962,269.1792,0,U,43570,999,33706,4.7626e-05,1.53e-06,0.0,7155.803083308076,Iridium Next
IRIDIUM 158,2018-061C,2024-12-31T15:36:38.321856,14.34218875,0.0001853,86.3967,279.2706,79.4249,280.7156,0,U,43571,999,33703,0.00014311,4.21e-06,0.0,7155.800412348753,Iridium Next
IRIDIUM 165,2018-061D,2024-12-31T11:11:46.453632,14.34217168,0.0002146,86.3963,279.3836,84.3289,275.8152,0,U,43572,999,33703,-3.0373e-05,-6.5e-07,0.0,7155.806090219186,Iridium Next
IRIDIUM 155,2018-061E,2024-12-31T15:18:21.218976,14.34226868,0.0001765,86.3964,279.2076,86.6897,273.4501,0,U,43573,999,33702,0.00035899,1.025e-05,0.0,7155.773825961759,Iridium Next
IRIDIUM 154,2018-061F,2024-12-31T14:50:58.138944,14.34221268,0.0002198,86.3969,279.3227,83.1999,276.9447,0,U,43574,999,33707,0.00034613,9.89e-06,0.0,7155.792452705179,Iridium Next
IRIDIUM 163,2018-061G,2024-12-31T19:24:58.350816,14.34219521,0.0001994,86.3964,279.1754,81.0444,279.0977,0,U,43575,999,33707,0.00014506,4.26e-06,0.0,7155.798263608691,Iridium Next
IRIDIUM 156,2018-061H,2024-12-31T18:48:26.191008,14.34218975,0.0001797,86.3964,279.1926,90.4304,269.7097,0,U,43576,999,33706,0.0002207,6.38e-06,0.0,7155.800079726346,Iridium Next
IRIDIUM 164,2018-061J,2024-12-31T15:00:05.794848,14.34223543,0.0002316,86.3966,279.2908,87.4448,272.7013,0,U,43577,999,33708,0.00041423,1.18e-05,0.0,7155.784885576046,Iridium Next
IRIDIUM 159,2018-061K,2024-12-31T15:54:54.217728,14.3421973,0.0002226,86.3965,279.2229,82.7294,277.4155,0,U,43578,999,33705,0.00026652,7.66e-06,0.0,7155.797568428427,Iridium Next
IRIDIUM 180,2019-002A,2024-12-31T20:55:34.826304,14.3421782,0.0001831,86.398,216.0163,86.1804,273.9601,0,U,43922,999,31269,1.1084e-06,2.3e-07,0.0,7155.803921517491,Iridium Next
IRIDIUM 176,2019-002B,2024-12-31T07:00:43.557120,14.72261868,0.0002752,86.6098,216.2648,67.2837,292.8671,0,U,43923,999,32084,0.0004777,3.038e-05,0.0,7031.993577302452,Iridium Next
IRIDIUM 168,2019-002C,2024-12-31T20:46:26.521536,14.34213179,0.0002082,86.3981,216.0814,84.6077,275.5356,0,U,43924,999,31267,0.0002626,7.55e-06,0.0,7155.81935858481,Iridium Next
IRIDIUM 173,2019-002D,2024-12-31T20:28:10.778592,14.34216989,0.0001903,86.3976,215.9975,86.1618,273.9795,0,U,43925,999,31265,2.8855e-05,1.01e-06,0.0,7155.8066856145715,Iridium Next
IRIDIUM 169,2019-002E,2024-12-31T09:15:05.143680,14.38613378,8.35e-05,86.4222,247.8025,30.0125,330.1121,0,U,43926,999,31362,0.00033935,1.058e-05,0.0,7141.220531330171,Iridium Next
IRIDIUM 172,2019-002F,2024-12-31T23:39:58.694400,14.34219355,0.0002029,86.3974,215.9481,84.7214,275.4213,0,U,43927,999,31268,0.00017911,5.21e-06,0.0,7155.798815761556,Iridium Next
IRIDIUM 175,2019-002G,2024-12-31T10:08:47.866272,14.72260587,0.000132,86.1524,178.2669,135.4854,224.6468,0,U,43928,999,32085,0.00018774,1.209e-05,0.0,7031.997656282556,Iridium Next
IRIDIUM 171,2019-002H,2024-12-31T19:51:38.900448,14.34217626,0.0002009,86.3987,216.2614,98.8541,261.2882,0,U,43929,999,31265,-1.1782e-06,1.6e-07,0.0,7155.804566805861,Iridium Next
IRIDIUM 170,2019-002J,2024-12-31T20:12:38.056896,14.72255648,0.0002366,86.6098,216.0406,79.8137,280.3347,0,U,43930,999,32093,0.00052577,3.341e-05,0.0,7032.0133831784715,Iridium Next
IRIDIUM 167,2019-002K,2025-01-01T02:24:22.822560,14.34217884,0.000176,86.3974,215.9181,98.8592,261.2803,0,U,43931,999,31269,0.00031362,8.98e-06,0.0,7155.803708638886,Iridium Next
IRIDIUM 181,2023-068S,2024-12-31T15:49:22.034784,14.43579628,0.0002435,86.6868,278.8545,92.8794,267.2686,0,U,56726,999,8562,0.00040708,1.398e-05,0.0,7124.832818627708,Iridium Next
IRIDIUM 177,2023-068T,2024-12-31T13:18:13.883040,14.80224753,0.000174,86.1977,221.6352,90.025,270.117,0,U,56727,999,8757,0.00055571,4.249e-05,0.0,7006.751788527148,Iridium Next
IRIDIUM 174,2023-068U,2024-12-31T13:10:24.072672,14.80217215,0.00023,86.1976,221.7574,90.3648,269.7836,0,U,56728,999,8757,0.00055376,4.234e-05,0.0,7006.775576409818,Iridium Next
IRIDIUM 178,2023-068V,2024-12-31T13:02:36.143232,14.80243543,0.0002717,86.5772,248.5602,89.9876,270.1657,0,U,56729,999,8757,0.00052827,4.042e-05,0.0,7006.692493264433,Iridium Next
IRIDIUM 179,2023-068W,2024-12-31T09:40:04.075680,14.80253123,0.000235,86.6782,255.2378,82.1181,278.0308,0,U,56730,999,8755,0.00055463,4.243e-05,0.0,7006.662262314765,Iridium Next
GLOBALSTAR M001,1998-008A,2025-01-01T00:59:03.842016,12.38204685,0.0001112,52.0033,99.7141,223.1571,308.4214,0,U,25162,999,22311,5.0148e-05,-9e-07,0.0,7892.359864624784,Globalstar
GLOBALSTAR M004,1998-008B,2024-12-31T20:11:19.539168,12.63383759,0.0001935,51.9972,204.6808,287.9344,192.4609,0,U,25163,999,24053,0.00028165,-5.3e-07,0.0,7787.145956678791,Globalstar
GLOBALSTAR M002,1998-008C,2024-12-31T20:52:09.990912,11.615065,7.74e-05,52.0031,299.7258,182.6116,177.47,0,U,25164,999,16462,-0.00085742,-1.2e-06,0.0,8236.083575577453,Globalstar
GLOBALSTAR M003,1998-008D,2025-01-01T03:33:07.015104,12.12063267,0.0007873,51.9985,271.1428,321.47,189.8504,0,U,25165,999,21305,0.0012976,3.2e-07,0.0,8005.435846931753,Globalstar
GLOBALSTAR M014,1998-023A,2024-12-31T20:56:27.031776,11.65477522,0.0002103,51.9812,226.4617,63.5182,310.5015,0,U,25306,999,17166,0.00078653,-3.6e-07,0.0,8217.364913554202,Globalstar
GLOBALSTAR M006,1998-023B,2024-12-31T20:42:32.800896,11.58170956,0.0003379,51.9941,272.7057,148.848,246.0538,0,U,25307,999,19744,0.0008618,-3.4e-07,0.0,8251.88933052985,Globalstar
GLOBALSTAR M015,1998-023C,2024-12-31T18:20:56.980032,11.48855432,0.0012747,51.9847,3.7466,138.1654,32.772,0,U,25308,999,17483,0.00013379,-6.8e-07,0.0,8296.436369227298,Globalstar
GLOBALSTAR M008,1998-023D,2024-12-31T22:06:15.414336,12.3605958,0.0002276,51.999,322.9999,176.0301,218.2402,0,U,25309,999,21716,0.00057519,-2.3e-07,0.0,7901.488360717512,Globalstar
GLOBALSTAR M023,1999-004A,2024-12-31T20:20:32.013600,12.62492841,0.0010963,52.0079,202.9932,114.9806,7.9227,0,U,25621,999,19459,0.00035573,-4e-07,0.0,7790.809023147006,Globalstar
GLOBALSTAR M040,1999-004B,2024-12-31T19:30:10.884672,12.61996232,0.000177,51.9891,207.0041,61.2033,312.797,0,U,25622,999,19412,0.00040091,-3.2e-07,0.0,7792.852733514526,Globalstar
GLOBALSTAR M036,1999-004C,2024-12-31T22:17:31.655040,11.86586195,0.0011171,51.9993,321.1757,91.4048,26.463,0,U,25623,999,15912,0.0012977,6e-08,0.0,8119.618923975617,Globalstar
GLOBALSTAR M038,1999-004D,2024-12-31T21:10:13.750176,12.32517421,0.0003035,51.9942,193.3885,74.8694,15.6715,0,U,25624,999,18174,0.00034709,-5.3e-07,0.0,7916.619959769967,Globalstar
GLOBALSTAR M022,1999-012A,2024-12-31T18:34:58.902240,12.02494107,0.000242,52.0062,26.0049,193.1664,338.2708,0,U,25649,999,15623,-1.1383e-05,-8.8e-07,0.0,8047.849944223984,Globalstar
GLOBALSTAR M041,1999-012B,2025-01-01T01:55:30.116352,11.96667643,0.0002621,52.0016,261.5333,11.1373,348.9521,0,U,25650,999,15852,0.0013406,1.9e-07,0.0,8073.951616054139,Globalstar
GLOBALSTAR M046,1999-012C,2024-12-31T21:29:06.597600,12.09402834,0.0002061,52.0075,341.917,285.2811,109.8499,0,U,25651,999,16342,0.00038009,-5.4e-07,0.0,8017.171735221041,Globalstar
GLOBALSTAR M037,1999-012D,2024-12-31T21:04:29.134272,12.62430567,0.0001738,52.0024,333.579,166.8203,227.4904,0,U,25652,999,19014,0.00038,-3.6e-07,0.0,7791.065227786491,Globalstar
GLOBALSTAR M045,1999-019A,2024-12-31T21:28:33.114144,12.27054034,5.67e-05,51.9982,62.086,176.8163,354.6629,0,U,25676,999,17285,0.00026432,-6.4e-07,0.0,7940.101417461999,Globalstar
GLOBALSTAR M019,1999-019B,2024-12-31T21:11:01.740192,12.13871925,0.000135,51.9851,180.7129,48.4941,99.2854,0,U,25677,999,16482,-0.00026389,-1.15e-06,0.0,7997.481853712321,Globalstar
GLOBALSTAR M044,1999-019C,2024-12-31T19:58:20.046144,11.90246964,0.0007303,51.9963,111.2768,84.7477,62.6789,0,U,25678,999,15139,0.00099086,-1.3e-07,0.0,8102.961704787631,Globalstar
GLOBALSTAR M042,1999-019D,2024-12-31T19:44:39.095808,12.2207616,0.0001954,51.9989,163.4253,330.9859,174.7983,0,U,25679,999,16479,2.5628e-05,-8.9e-07,0.0,7961.648377987433,Globalstar
GLOBALSTAR M025,1999-031A,2024-12-31T22:08:30.156864,11.2255854,0.0001127,51.9774,186.7518,163.959,345.9149,0,U,25770,999,46292,6.5563e-05,-6.5e-07,0.0,8425.503096515264,Globalstar
GLOBALSTAR M049,1999-031B,2024-12-31T19:25:09.417792,11.12112042,0.0004676,51.9837,213.3673,89.7207,270.4125,0,U,25771,999,9880,-0.00034234,-7.5e-07,0.0,8478.183506276417,Globalstar
GLOBALSTAR M047,1999-031C,2024-12-31T19:20:56.202720,11.31925861,0.0016181,51.9805,226.336,340.0231,19.994,0,U,25772,999,45215,-6.5137e-05,-7.2e-07,0.0,8378.954905564862,Globalstar
GLOBALSTAR M052,1999-031D,2024-12-31T14:52:56.329824,11.15056546,0.000219,51.9896,324.8281,262.143,268.6764,0,U,25773,999,45981,0.00055069,-4.9e-07,0.0,8463.251501110579,Globalstar
GLOBALSTAR M035,1999-037A,2024-12-31T17:18:43.687008,11.04534961,0.0013893,51.9965,68.4295,73.5279,75.3901,0,U,25851,999,7775,0.00022296,-5.8e-07,0.0,8516.912721825744,Globalstar
GLOBALSTAR M032,1999-037B,2024-12-31T20:24:09.259488,11.19055154,0.0010048,51.9949,264.8855,248.134,111.8392,0,U,25852,999,11605,0.00025859,-5.9e-07,0.0,8443.078881564461,Globalstar
GLOBALSTAR M051,1999-037C,2024-12-31T13:19:38.290656,11.42199848,7.11e-05,51.9801,85.2827,224.8437,135.2316,0,U,25853,999,11323,0.00017404,-6.5e-07,0.0,8328.633970056424,Globalstar
GLOBALSTAR M030,1999-037D,2024-12-31T19:29:37.618944,11.55102314,0.0004373,51.9872,261.4134,99.6671,260.464,0,U,25854,999,13070,0.0015935,0.0,0.0,8266.497500051943,Globalstar
GLOBALSTAR M048,1999-041A,2024-12-31T17:34:40.465056,11.33852953,0.001325,51.9397,13.4157,254.4754,277.0757,0,U,25872,999,10598,0.00050248,-5.1e-07,0.0,8369.458321794968,Globalstar
GLOBALSTAR M026,1999-041B,2024-12-31T22:07:45.234912,11.06826387,0.0001453,51.997,187.6994,25.3746,150.8428,0,U,25873,999,12996,3.952e-05,-6.3e-07,0.0,8505.153807312294,Globalstar
GLOBALSTAR M043,1999-041C,2024-12-31T17:36:56.328192,11.25689215,0.001311,51.9393,114.3822,30.7333,139.8433,0,U,25874,999,10401,0.00051179,-5.1e-07,0.0,8409.87429880359,Globalstar
GLOBALSTAR M028,1999-041D,2024-12-31T15:09:31.154112,12.50573816,0.0063685,51.9644,332.6845,67.4509,293.3076,0,U,25875,999,16921,0.00066531,2e-08,0.0,7840.232716397481,Globalstar
GLOBALSTAR M024,1999-043A,2024-12-31T20:09:09.806976,11.10165018,0.00018,52.0044,38.216,173.7616,356.7914,0,U,25883,999,9627,0.0022608,-1e-08,0.0,8488.09338762994,Globalstar
GLOBALSTAR M027,1999-043B,2024-12-31T14:17:26.289024,11.04370431,0.0021884,52.0204,111.9997,82.5106,277.8172,0,U,25884,999,12272,-0.0029717,-1.42e-06,0.0,8517.758605186937,Globalstar
GLOBALSTAR M054,1999-043C,2024-12-31T19:06:56.551104,11.39213689,0.0005025,52.0137,266.9472,254.8426,145.7105,0,U,25885,999,9997,0.0041348,9.1e-07,0.0,8343.181883135741,Globalstar
GLOBALSTAR M053,1999-043D,2024-12-31T21:56:02.759712,11.27662236,0.000406,51.9945,204.4772,137.5691,3.6526,0,U,25886,999,10057,0.00066833,-4.6e-07,0.0,8400.061844643735,Globalstar
GLOBALSTAR M058,1999-049A,2024-12-31T20:26:03.726528,11.93191372,0.0001329,51.9907,196.0042,1.1275,358.9562,0,U,25907,999,52156,0.00017319,-7.2e-07,0.0,8089.625901285529,Globalstar
GLOBALSTAR M050,1999-049B,2024-12-31T20:14:10.008960,12.07447619,0.0010307,51.9964,216.2048,60.8287,53.3038,0,U,25908,999,12797,0.0013205,2.9e-07,0.0,8025.824183431847,Globalstar
GLOBALSTAR M033,1999-049C,2024-12-31T18:18:42.697152,12.2029428,0.0012156,51.9912,99.8191,276.8849,83.0615,0,U,25909,999,51530,-0.00010331,-1.02e-06,0.0,7969.396919685066,Globalstar
GLOBALSTAR M055,1999-049D,2024-12-31T18:39:21.460608,12.29417958,0.0007958,52.0012,118.676,141.1615,218.9809,0,U,25910,999,14769,0.00013092,-7.9e-07,0.0,7929.920005236794,Globalstar
GLOBALSTAR M057,1999-058A,2024-12-31T15:45:52.383456,12.24806039,0.0002649,51.9982,103.6475,54.6485,305.4612,0,U,25943,999,14640,0.00028465,-6.2e-07,0.0,7949.813895518413,Globalstar
GLOBALSTAR M059,1999-058B,2024-12-31T21:44:24.563904,11.99972657,8.34e-05,52.0034,299.7219,30.634,356.4265,0,U,25944,999,55396,-0.00040892,-1.19e-06,0.0,8059.11972953431,Globalstar
GLOBALSTAR M056,1999-058C,2024-12-31T14:38:48.655968,12.04775594,3.56e-05,51.9981,306.781,205.8497,325.1261,0,U,25945,999,14242,0.00059935,-3.6e-07,0.0,8037.68657711126,Globalstar
