OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092Q,2024-12-31T16:09:04.741056,15.02988557,.0207441,82.3607,185.9418,155.6524,205.4678,0,U,49527,999,16419,.85229E-2,.187673E-2,0
COSMOS 1408 DEB,1982-092AA,2024-12-31T18:47:10.308480,15.34243859,.0086495,82.5464,96.6478,86.1757,274.9369,0,U,49537,999,17200,.10655E-2,.40069E-3,0
COSMOS 1408 DEB,1982-092DL,2024-12-31T17:37:16.525056,15.58660871,.0077664,81.9048,115.8172,178.5174,181.6326,0,U,49619,999,16460,.17572E-1,.1733561E-1,0
COSMOS 1408 DEB,1982-092RU,2024-12-31T13:02:09.647808,15.41290049,.001796,82.5643,52.1630,32.5980,327.6371,0,U,50032,999,17263,.22165E-3,.9316E-4,0
COSMOS 1408 DEB,1982-092SW,2024-12-31T13:12:07.162560,15.46254929,.0023034,82.6145,66.5052,294.4302,65.4544,0,U,50058,999,17426,.58167E-3,.29003E-3,0
COSMOS 1408 DEB,1982-092ABM,2024-12-31T13:41:33.326304,15.66589702,.0047148,82.5022,96.6036,97.7651,262.8966,0,U,50351,999,17174,.28018E-2,.321155E-2,0
COSMOS 1408 DEB,1982-092ADS,2024-12-31T19:12:45.660672,14.63562645,.0341074,82.2289,194.4394,260.2045,96.0494,0,U,50404,999,16052,.66187E-2,.81836E-3,0
COSMOS 1408 DEB,1982-092ALR,2024-12-31T21:46:44.516352,15.40737993,.003924,82.5757,69.5700,334.9474,24.9867,0,U,50621,999,16899,.64904E-3,.27352E-3,0
COSMOS 1408 DEB,1982-092APM,2024-12-31T12:37:35.109984,15.79765159,.0019982,82.4994,36.1093,208.1890,151.8297,0,U,50689,999,16933,.81958E-3,.15432E-2,0
COSMOS 1408 DEB,1982-092AZJ,2024-12-31T19:37:43.638816,15.68741689,.0011545,82.4842,32.6414,211.3061,148.7514,0,U,51184,999,16726,.75019E-3,.86512E-3,0
COSMOS 1408 DEB,1982-092BKH,2024-12-31T14:40:28.776288,15.70091312,.0025573,82.5423,66.1311,338.8326,21.1875,0,U,51435,999,16462,.13874E-2,.173274E-2,0
COSMOS 1408 DEB,1982-092BUU,2024-12-30T17:22:17.695488,15.44865342,.008207,82.5088,106.6281,146.1917,214.4604,0,U,52066,999,15635,.40083E-2,.218642E-2,0
