OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
QB50P1,2014-033R,2024-12-31T12:57:59.476608,15.05906920,.0009878,98.0667,334.9370,232.4669,127.5660,0,U,40025,999,57251,.13736E-2,.19968E-3,0
QB50P2,2014-033Y,2024-12-31T20:01:45.882048,15.04226241,.0009018,98.0264,325.4761,168.2118,191.9320,0,U,40032,999,57232,.13245E-2,.18397E-3,0
PERSEUS-M2,2014-033AD,2024-12-31T21:07:43.113504,14.92491894,.0011128,97.9430,298.7630,262.7127,97.2827,0,U,40037,999,57129,.58318E-3,.5935E-4,0
PERSEUS-M1,2014-033AF,2024-12-31T19:03:01.975104,14.92391376,.0010899,97.9197,294.1432,262.4961,97.5019,0,U,40039,999,57113,.62372E-3,.6336E-4,0
POLYITAN-1,2014-033AJ,2024-12-31T16:32:37.009536,15.11381807,.0010602,98.0912,340.5614,175.4266,184.7061,0,U,40042,999,57257,.17699E-2,.29943E-3,0
TIGRISAT,2014-033AK,2024-12-31T21:13:57.387936,14.81404342,.0053387,97.7120,161.6716,19.8727,340.4550,0,U,40043,999,56670,.81612E-3,.6493E-4,0
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.88680050,.004603,97.6762,173.4310,351.4054,8.6370,0,U,40045,999,56715,.1639E-2,.15572E-3,0
AEROCUBE 6B,2014-033AN,2024-12-31T21:19:39.089568,14.89703756,.0044483,97.6738,172.3186,345.9910,14.0071,0,U,40046,999,56722,.17187E-2,.16735E-3,0
CANX-4,2014-034C,2024-12-31T15:27:25.939008,14.79437493,.0012028,98.3760,209.6642,281.8535,78.1326,0,U,40055,999,56573,.62925E-3,.4647E-4,0
CANX-5,2014-034D,2024-12-31T20:25:03.880704,14.79451101,.0012039,98.3764,209.8931,281.3989,78.5868,0,U,40056,999,55657,.64282E-3,.475E-4,0
UKUBE-1,2014-037F,2024-12-31T06:38:43.953504,15.00452365,.0003271,98.3678,309.3963,94.0291,266.1305,0,U,40074,999,56826,.15977E-2,.20086E-3,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2024-12-31T20:44:09.452256,14.91148914,.001626,97.8868,106.0084,74.3660,285.9351,0,U,40119,999,56201,.64812E-3,.6393E-4,0
AEROCUBE 5C,2015-058B,2024-12-31T20:59:37.726080,14.86257925,.0184947,64.7696,113.2492,249.2149,108.9062,0,U,40965,999,28638,.11644E-2,.13896E-3,0
AEROCUBE 7,2015-058C,2024-12-30T14:00:54.925920,14.88909159,.0178379,64.7663,108.8343,249.3075,108.8836,0,U,40966,999,28630,.13922E-2,.17549E-3,0
