OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 130,2017-083D,2025-01-01T01:24:39.011904,14.34217291,.0001699,86.4002,184.6236,95.0122,265.1268,0,U,43073,999,36784,-.30924E-4,-.67E-6,0
IRIDIUM 151,2017-083E,2024-12-31T18:06:14.611392,14.34216743,.0002027,86.3995,184.5732,92.5499,267.5929,0,U,43074,999,36782,-.19692E-4,-.35E-6,0
IRIDIUM 134,2017-083F,2024-12-31T20:41:30.948000,14.34216882,.00018,86.3996,184.5289,94.9554,265.1847,0,U,43075,999,36780,-.28586E-4,-.6E-6,0
IRIDIUM 137,2017-083G,2024-12-31T17:38:51.113184,14.34217433,.000232,86.3998,184.6636,99.9419,260.2039,0,U,43076,999,36785,-.1321E-4,-.17E-6,0
IRIDIUM 141,2017-083H,2024-12-31T19:10:11.015040,14.34217847,.0001833,86.3988,184.4983,82.0988,278.0416,0,U,43077,999,36786,.34259E-5,.29E-6,0
IRIDIUM 153,2017-083J,2024-12-31T18:01:18.977376,14.34215884,.0001792,86.3999,153.0449,75.2434,284.8960,0,U,43078,999,36896,.10799E-3,.322E-5,0
IRIDIUM 131,2017-083K,2024-12-31T13:50:30.724800,14.34216301,.0001955,86.3999,184.7413,86.6981,273.4438,0,U,43079,999,36776,-.53289E-4,-.129E-5,0
IRIDIUM 144,2018-030A,2024-12-31T18:10:26.978880,14.34222327,.0001842,86.3995,152.9836,97.6848,262.4556,0,U,43249,999,35382,.31424E-3,.9E-5,0
IRIDIUM 149,2018-030B,2024-12-31T20:00:02.971872,14.34223287,.0002136,86.3997,152.9250,96.7689,263.3750,0,U,43250,999,35385,.34668E-3,.991E-5,0
IRIDIUM 157,2018-030C,2024-12-31T18:46:59.217312,14.34217506,.0002197,86.3995,152.9874,92.0861,268.0587,0,U,43251,999,35382,.10321E-3,.309E-5,0
IRIDIUM 140,2018-030D,2024-12-31T17:33:55.279584,14.34214535,.0001811,86.4000,153.0230,97.0759,263.0642,0,U,43252,999,35387,-.45743E-4,-.108E-5,0
IRIDIUM 145,2018-030E,2024-12-31T15:35:10.288896,14.34216330,.000198,86.3997,153.0304,104.4836,255.6580,0,U,43253,999,35379,.29277E-3,.84E-5,0
IRIDIUM 146,2018-030F,2024-12-31T16:48:15.407712,14.34217160,.0001851,86.4000,153.0234,105.3405,254.7995,0,U,43254,999,35381,-.96785E-5,-.7E-7,0
IRIDIUM 148,2018-030G,2024-12-31T21:03:59.215680,14.34217652,.0002044,86.3999,152.9840,98.7943,261.3485,0,U,43255,999,35387,.12609E-3,.373E-5,0
IRIDIUM 142,2018-030H,2024-12-31T10:15:31.228128,14.34219130,.0002147,86.3994,153.0804,105.5897,254.5536,0,U,43256,999,35377,.20827E-3,.603E-5,0
IRIDIUM 150,2018-030J,2024-12-31T21:13:07.223232,14.34217753,.0001916,86.3998,152.9888,100.6344,259.5068,0,U,43257,999,35386,.20478E-3,.593E-5,0
IRIDIUM 143,2018-030K,2024-12-31T10:42:54.906912,14.34223038,.0001886,86.4000,153.2432,109.0865,251.0535,0,U,43258,999,35373,.33615E-3,.961E-5,0
IRIDIUM 161,2018-047C,2024-12-31T13:40:04.000800,14.43286517,.0002253,86.4494,311.0440,86.2841,273.8618,0,U,43478,999,34831,.37261E-3,.1274E-4,0
IRIDIUM 152,2018-047D,2024-12-31T16:45:30.121056,14.34219300,.0002093,86.3970,310.8497,82.6003,277.5431,0,U,43479,999,34616,.14574E-3,.428E-5,0
IRIDIUM 147,2018-047E,2024-12-31T21:56:02.045184,14.34221231,.0002371,86.3974,310.7555,77.2887,282.8574,0,U,43480,999,34619,.22664E-3,.655E-5,0
IRIDIUM 110,2018-047F,2025-01-01T03:06:34.221600,14.34217890,.000205,86.3975,310.7433,72.9316,287.2104,0,U,43481,999,34621,.60697E-4,.19E-5,0
