OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025ALV,2024-12-31T22:26:10.181184,14.04739386,.0052898,98.8418,35.0080,353.0073,127.8943,0,U,30579,999,91601,.84469E-3,.1327E-4,0
FENGYUN 1C DEB,1999-025ALZ,2024-12-31T20:31:33.102336,14.16946938,.0194251,99.1874,205.8892,214.7090,144.1282,0,U,30594,999,92680,.80984E-3,.1907E-4,0
FENGYUN 1C DEB,1999-025AMB,2024-12-31T19:58:55.255008,14.33061383,.0251485,98.4039,7.7742,238.1760,246.5070,0,U,30596,999,93604,.77756E-3,.298E-4,0
FENGYUN 1C DEB,1999-025AMC,2024-12-30T23:09:55.680192,14.63495033,.0078559,98.9522,259.6167,175.6015,184.5893,0,U,30597,999,93421,.83014E-2,.45209E-3,0
FENGYUN 1C DEB,1999-025AME,2024-12-30T13:30:30.320352,14.17595876,.0308564,98.6178,20.5412,267.5021,89.0802,0,U,30599,999,92244,.2174E-2,.7026E-4,0
FENGYUN 1C DEB,1999-025AMF,2024-12-31T15:16:20.289216,13.97552973,.0363889,98.3777,332.0956,147.0143,215.4305,0,U,30600,999,89580,.49362E-2,.12206E-3,0
FENGYUN 1C DEB,1999-025AMH,2024-12-31T08:45:19.103616,14.58796947,.0017253,99.0484,235.4830,145.5103,270.5932,0,U,30602,999,92707,.10381E-1,.48923E-3,0
FENGYUN 1C DEB,1999-025AMJ,2024-12-31T02:31:05.155392,13.82692476,.0185627,98.4406,58.7834,73.7659,317.7457,0,U,30603,999,90083,.27958E-2,.3433E-4,0
FENGYUN 1C DEB,1999-025AMK,2024-12-31T21:03:50.515200,14.22708085,.0211025,98.4470,50.2102,297.4565,239.0855,0,U,30604,999,92919,.11554E-2,.3205E-4,0
FENGYUN 1C DEB,1999-025AMM,2024-12-31T22:07:17.181696,14.54318575,.0223812,98.1101,20.7748,132.3798,345.9328,0,U,30606,999,94210,.10248E-2,.6034E-4,0
